category,title,link,qrcode
photos,Playdates,https://benfranklinpta.sharepoint.com/:f:/s/pta/IgA54Qy5HwU1RaxmhzFJC5IoAbPU8oH5jJGCtoxoOVelODE,playdates.png
photos,Fall Family Night,https://benfranklinpta.sharepoint.com/:f:/s/pta/IgBpOft3nCSMS5toWzeFSfWvAetr2jiWoo5cg1sffh25KbU,fall_family_night.png
photos,Welcome Back Coffee Morning,https://benfranklinpta.sharepoint.com/:f:/s/pta/IgCKc5jfXXA-Sa6mEz0gaYUPAWkIGMD9V69pio1ajX-PnWQ,welcome_back_coffee_morning.png
important,Join the PTA,https://mybenfranklinpta.org/membership.html,membership.png
important,Join the PTA Newsletter,https://benfranklinpta.subscribepage.io,newsletter-qr-code.png
important,Volunteer,volunteering.html,volunteer-qr-code.png
programs,Reading Challenge Mailing List,https://forms.cloud.microsoft/r/UMRT9S5Rtq?origin=lprLink,reading-challenge-mailing-list.png
programs,Reflections,https://ben-franklin-pta-mctrvt.subscribepage.io/,reflections.png
